PM2.5: 95.00 | PM10: 115.36
PM2.5: 200.25 | PM10: 147.88
PM2.5: 64.63 | PM10: 110.96
PM2.5: 109.79 | PM10: 295.55
PM2.5: 254.68 | PM10: 40.27
PM2.5: 251.23 | PM10: 276.22
PM2.5: 280.03 | PM10: 242.10
PM2.5: 180.16 | PM10: 57.86
PM2.5: 94.94 | PM10: 100.68
PM2.5: 293.07 | PM10: 40.72
BLE Notify: 176.34#115.98
PM2.5: 31.55 | PM10: 257.27
PM2.5: 293.02 | PM10: 58.61
PM2.5: 160.05 | PM10: 286.15
PM2.5: 156.69 | PM10: 266.31
PM2.5: 213.90 | PM10: 141.73
PM2.5: 262.67 | PM10: 178.90
PM2.5: 29.85 | PM10: 275.88
PM2.5: 65.82 | PM10: 127.26
PM2.5: 0.91 | PM10: 226.06
PM2.5: 97.40 | PM10: 227.15
PM2.5: 227.53 | PM10: 109.33
PM2.5: 62.53 | PM10: 252.16
BLE Notify: 133.49#200.57
PM2.5: 174.39 | PM10: 42.83
PM2.5: 171.55 | PM10: 197.51
PM2.5: 289.42 | PM10: 87.61
PM2.5: 297.49 | PM10: 56.38
PM2.5: 76.10 | PM10: 38.92
PM2.5: 93.10 | PM10: 63.85
PM2.5: 189.64 | PM10: 258.71
PM2.5: 173.90 | PM10: 230.40
PM2.5: 264.89 | PM10: 211.53
PM2.5: 101.88 | PM10: 145.39
PM2.5: 72.46 | PM10: 95.50
PM2.5: 107.38 | PM10: 98.50
BLE Notify: 167.68#127.26
PM2.5: 291.61 | PM10: 263.33
PM2.5: 59.34 | PM10: 41.29
PM2.5: 169.79 | PM10: 12.14
PM2.5: 235.62 | PM10: 173.07
PM2.5: 103.72 | PM10: 101.41
PM2.5: 181.49 | PM10: 36.67
PM2.5: 22.47 | PM10: 76.98
PM2.5: 204.80 | PM10: 77.94
PM2.5: 32.86 | PM10: 169.98
PM2.5: 116.48 | PM10: 40.31
PM2.5: 225.48 | PM10: 5.76
PM2.5: 188.38 | PM10: 47.05
BLE Notify: 152.67#87.16
PM2.5: 17.32 | PM10: 157.99
PM2.5: 235.77 | PM10: 240.63
PM2.5: 14.40 | PM10: 137.73
PM2.5: 233.90 | PM10: 296.64
PM2.5: 187.74 | PM10: 186.12
PM2.5: 151.34 | PM10: 223.51
PM2.5: 275.22 | PM10: 198.83
PM2.5: 135.77 | PM10: 126.31
PM2.5: 189.50 | PM10: 246.65
PM2.5: 181.73 | PM10: 32.69
PM2.5: 293.46 | PM10: 80.19
PM2.5: 285.60 | PM10: 26.57
BLE Notify: 183.48#162.82
PM2.5: 155.92 | PM10: 58.25
PM2.5: 180.63 | PM10: 96.37
PM2.5: 79.01 | PM10: 104.13
PM2.5: 141.09 | PM10: 101.26
PM2.5: 103.87 | PM10: 84.28
PM2.5: 80.05 | PM10: 77.35
PM2.5: 97.05 | PM10: 214.99
PM2.5: 116.53 | PM10: 196.54
PM2.5: 124.07 | PM10: 86.33
PM2.5: 230.62 | PM10: 161.95
PM2.5: 251.91 | PM10: 150.27
PM2.5: 54.04 | PM10: 141.62
BLE Notify: 134.57#122.78
PM2.5: 243.12 | PM10: 240.96
PM2.5: 46.49 | PM10: 77.00
PM2.5: 291.72 | PM10: 137.82
PM2.5: 261.08 | PM10: 169.03
PM2.5: 263.80 | PM10: 218.24
PM2.5: 201.64 | PM10: 58.98
PM2.5: 233.98 | PM10: 175.90
PM2.5: 45.89 | PM10: 99.70
PM2.5: 83.66 | PM10: 54.53
PM2.5: 194.64 | PM10: 170.21
PM2.5: 163.03 | PM10: 153.02
PM2.5: 82.45 | PM10: 56.44
BLE Notify: 175.96#134.32
PM2.5: 201.48 | PM10: 92.77
PM2.5: 236.90 | PM10: 127.23
PM2.5: 136.87 | PM10: 299.36
PM2.5: 58.99 | PM10: 72.06
PM2.5: 6.11 | PM10: 210.21
PM2.5: 299.05 | PM10: 129.95
PM2.5: 60.74 | PM10: 250.76
PM2.5: 268.97 | PM10: 268.33
PM2.5: 112.37 | PM10: 141.37
PM2.5: 284.81 | PM10: 13.13
PM2.5: 143.75 | PM10: 202.56
PM2.5: 204.78 | PM10: 77.66
BLE Notify: 167.90#157.12
PM2.5: 163.12 | PM10: 42.01
PM2.5: 126.87 | PM10: 256.82
PM2.5: 165.60 | PM10: 299.44
PM2.5: 291.11 | PM10: 183.80
PM2.5: 18.62 | PM10: 117.96
PM2.5: 175.30 | PM10: 254.90
PM2.5: 5.11 | PM10: 73.97
PM2.5: 37.61 | PM10: 126.22
PM2.5: 109.06 | PM10: 272.00
PM2.5: 118.79 | PM10: 143.89
PM2.5: 244.46 | PM10: 248.29
PM2.5: 32.48 | PM10: 71.25
BLE Notify: 124.01#174.21
PM2.5: 198.94 | PM10: 184.69
PM2.5: 247.69 | PM10: 201.39
PM2.5: 167.05 | PM10: 178.37
PM2.5: 136.99 | PM10: 260.09
PM2.5: 70.88 | PM10: 173.60
PM2.5: 12.05 | PM10: 291.04
PM2.5: 24.42 | PM10: 287.22
PM2.5: 150.69 | PM10: 142.86
PM2.5: 218.91 | PM10: 248.76
PM2.5: 273.80 | PM10: 258.63
PM2.5: 225.76 | PM10: 84.06
PM2.5: 182.00 | PM10: 98.41
BLE Notify: 159.10#200.76
PM2.5: 98.16 | PM10: 9.01
PM2.5: 292.75 | PM10: 125.38
PM2.5: 225.05 | PM10: 142.16
PM2.5: 202.49 | PM10: 63.62
PM2.5: 154.06 | PM10: 65.17
PM2.5: 267.45 | PM10: 191.35
PM2.5: 76.35 | PM10: 168.92
PM2.5: 52.72 | PM10: 47.27
PM2.5: 223.34 | PM10: 92.97
PM2.5: 43.68 | PM10: 145.66
PM2.5: 42.85 | PM10: 207.82
PM2.5: 144.70 | PM10: 123.31
BLE Notify: 151.97#115.22
PM2.5: 38.75 | PM10: 169.49
PM2.5: 131.06 | PM10: 74.68
PM2.5: 98.63 | PM10: 76.15
PM2.5: 181.88 | PM10: 17.67
PM2.5: 108.76 | PM10: 78.15
PM2.5: 24.08 | PM10: 295.57
PM2.5: 278.06 | PM10: 56.03
PM2.5: 216.78 | PM10: 25.19
PM2.5: 270.51 | PM10: 34.50
PM2.5: 168.43 | PM10: 28.61
PM2.5: 272.11 | PM10: 238.82
Restart advertising...
PM2.5: 216.41 | PM10: 103.64
BLE Notify: 167.12#99.88
Device connected
Initial Notify on Connect: 167.12#99.88
PM2.5: 274.59 | PM10: 176.33
PM2.5: 78.46 | PM10: 283.58
PM2.5: 106.01 | PM10: 146.35
PM2.5: 14.80 | PM10: 24.18
PM2.5: 73.95 | PM10: 76.05
Restart advertising...
Device connected
Initial Notify on Connect: 167.12#99.88
PM2.5: 73.55 | PM10: 232.19
PM2.5: 282.33 | PM10: 207.65
PM2.5: 279.93 | PM10: 79.62
PM2.5: 114.24 | PM10: 25.20
PM2.5: 128.93 | PM10: 119.04
PM2.5: 213.25 | PM10: 283.00
PM2.5: 111.71 | PM10: 29.48
BLE Notify: 145.98#140.22
PM2.5: 1.75 | PM10: 244.64
PM2.5: 289.42 | PM10: 16.59
PM2.5: 253.92 | PM10: 74.65
PM2.5: 162.21 | PM10: 274.74
PM2.5: 273.96 | PM10: 158.61
PM2.5: 283.70 | PM10: 203.13
PM2.5: 218.45 | PM10: 28.38
PM2.5: 3.72 | PM10: 246.45
PM2.5: 19.66 | PM10: 265.23
PM2.5: 259.32 | PM10: 156.07
PM2.5: 232.28 | PM10: 220.63
PM2.5: 28.64 | PM10: 185.42
BLE Notify: 168.92#172.88
PM2.5: 251.75 | PM10: 143.33
PM2.5: 122.03 | PM10: 66.92
PM2.5: 101.59 | PM10: 197.21
PM2.5: 68.52 | PM10: 99.71
PM2.5: 161.55 | PM10: 44.93
PM2.5: 201.50 | PM10: 31.21
PM2.5: 221.65 | PM10: 152.94
PM2.5: 33.88 | PM10: 130.55
PM2.5: 194.59 | PM10: 0.12
PM2.5: 7.42 | PM10: 238.07
PM2.5: 110.77 | PM10: 280.04
PM2.5: 130.75 | PM10: 232.12
BLE Notify: 133.83#134.76
PM2.5: 179.24 | PM10: 30.31
PM2.5: 225.70 | PM10: 112.75
PM2.5: 40.20 | PM10: 214.69
PM2.5: 13.86 | PM10: 77.83
PM2.5: 200.71 | PM10: 256.34
PM2.5: 0.58 | PM10: 155.34
PM2.5: 277.77 | PM10: 101.02
PM2.5: 12.34 | PM10: 268.04
PM2.5: 158.26 | PM10: 30.81
PM2.5: 129.50 | PM10: 270.74
PM2.5: 161.99 | PM10: 32.90
PM2.5: 183.77 | PM10: 127.10
BLE Notify: 131.99#139.82
PM2.5: 226.07 | PM10: 40.03
PM2.5: 188.68 | PM10: 264.00
PM2.5: 165.13 | PM10: 91.73
PM2.5: 53.25 | PM10: 9.29
PM2.5: 209.07 | PM10: 175.78
PM2.5: 288.23 | PM10: 2.75
PM2.5: 176.61 | PM10: 20.04
PM2.5: 80.29 | PM10: 35.88
PM2.5: 177.06 | PM10: 292.80
PM2.5: 24.11 | PM10: 159.38
PM2.5: 253.47 | PM10: 220.98
PM2.5: 102.77 | PM10: 220.65
BLE Notify: 162.06#127.78
PM2.5: 162.42 | PM10: 74.45
PM2.5: 96.64 | PM10: 172.71
PM2.5: 53.42 | PM10: 184.86
PM2.5: 261.18 | PM10: 245.67
PM2.5: 138.00 | PM10: 269.79
PM2.5: 115.70 | PM10: 42.77
PM2.5: 189.73 | PM10: 264.63
PM2.5: 2.78 | PM10: 206.60
PM2.5: 5.19 | PM10: 183.46
PM2.5: 210.47 | PM10: 157.12
PM2.5: 79.08 | PM10: 67.15
PM2.5: 198.09 | PM10: 270.20
BLE Notify: 126.06#178.28
PM2.5: 127.34 | PM10: 204.98
PM2.5: 123.79 | PM10: 8.81
PM2.5: 38.95 | PM10: 39.18
PM2.5: 47.47 | PM10: 220.66
PM2.5: 135.21 | PM10: 0.91
PM2.5: 117.13 | PM10: 296.58
PM2.5: 70.00 | PM10: 65.93
PM2.5: 265.05 | PM10: 75.50
PM2.5: 128.35 | PM10: 271.75
PM2.5: 193.54 | PM10: 95.25
PM2.5: 182.62 | PM10: 142.50
PM2.5: 192.58 | PM10: 229.21
BLE Notify: 135.17#137.60
PM2.5: 153.97 | PM10: 173.91
PM2.5: 288.78 | PM10: 91.79
PM2.5: 15.63 | PM10: 298.95
PM2.5: 18.07 | PM10: 277.03
PM2.5: 143.78 | PM10: 215.68
PM2.5: 23.64 | PM10: 158.57
PM2.5: 16.06 | PM10: 186.48
PM2.5: 202.56 | PM10: 77.84
PM2.5: 285.48 | PM10: 286.89
PM2.5: 176.94 | PM10: 99.40
PM2.5: 175.55 | PM10: 34.78
PM2.5: 70.78 | PM10: 238.61
BLE Notify: 130.94#178.33
PM2.5: 7.63 | PM10: 281.34
PM2.5: 81.78 | PM10: 168.12
PM2.5: 133.84 | PM10: 277.32
PM2.5: 222.50 | PM10: 39.38
PM2.5: 55.24 | PM10: 272.20
PM2.5: 0.64 | PM10: 137.19
PM2.5: 60.63 | PM10: 124.01
PM2.5: 178.96 | PM10: 42.80
PM2.5: 30.45 | PM10: 14.66
PM2.5: 107.21 | PM10: 267.33
PM2.5: 170.97 | PM10: 46.90
PM2.5: 244.66 | PM10: 212.78
BLE Notify: 107.88#157.00
PM2.5: 160.93 | PM10: 86.01
PM2.5: 7.33 | PM10: 126.76
PM2.5: 49.41 | PM10: 173.62
PM2.5: 30.34 | PM10: 130.15
PM2.5: 194.63 | PM10: 55.51
PM2.5: 118.75 | PM10: 153.00
PM2.5: 283.56 | PM10: 179.51
PM2.5: 194.49 | PM10: 299.09
PM2.5: 22.62 | PM10: 132.10
PM2.5: 21.28 | PM10: 230.61
PM2.5: 130.91 | PM10: 144.07
PM2.5: 223.93 | PM10: 279.93
BLE Notify: 119.85#165.86
PM2.5: 96.00 | PM10: 299.28
PM2.5: 188.06 | PM10: 78.24
PM2.5: 261.22 | PM10: 9.44
PM2.5: 192.68 | PM10: 281.75
PM2.5: 121.83 | PM10: 189.46
PM2.5: 8.73 | PM10: 178.12
PM2.5: 249.49 | PM10: 152.46
PM2.5: 228.21 | PM10: 203.23
PM2.5: 177.91 | PM10: 287.95
PM2.5: 148.95 | PM10: 145.94
PM2.5: 55.63 | PM10: 291.31
PM2.5: 42.21 | PM10: 22.70
BLE Notify: 147.58#178.32
PM2.5: 3.31 | PM10: 199.09
PM2.5: 53.57 | PM10: 46.55
PM2.5: 94.22 | PM10: 207.74
PM2.5: 191.30 | PM10: 253.62
PM2.5: 146.22 | PM10: 69.21
PM2.5: 24.50 | PM10: 82.93
PM2.5: 218.94 | PM10: 233.07
PM2.5: 61.04 | PM10: 276.94
PM2.5: 171.76 | PM10: 176.49
PM2.5: 12.86 | PM10: 245.45
PM2.5: 214.11 | PM10: 257.32
PM2.5: 136.14 | PM10: 17.87
BLE Notify: 110.66#172.19
PM2.5: 165.05 | PM10: 167.34
PM2.5: 4.38 | PM10: 257.64
PM2.5: 117.05 | PM10: 13.85
PM2.5: 4.08 | PM10: 168.92
PM2.5: 279.36 | PM10: 137.06
PM2.5: 162.50 | PM10: 33.95
PM2.5: 99.23 | PM10: 117.95
PM2.5: 254.31 | PM10: 61.37
PM2.5: 130.17 | PM10: 38.46
PM2.5: 17.86 | PM10: 205.84
PM2.5: 107.30 | PM10: 230.16
PM2.5: 131.04 | PM10: 222.78
BLE Notify: 122.69#137.94
PM2.5: 174.84 | PM10: 41.65
PM2.5: 281.86 | PM10: 204.48
PM2.5: 226.75 | PM10: 123.52
PM2.5: 205.14 | PM10: 38.14
PM2.5: 60.68 | PM10: 275.58
PM2.5: 195.66 | PM10: 216.51
PM2.5: 115.50 | PM10: 154.50
PM2.5: 139.96 | PM10: 97.82
PM2.5: 14.60 | PM10: 99.98
PM2.5: 17.12 | PM10: 36.54
PM2.5: 150.77 | PM10: 277.50
PM2.5: 103.89 | PM10: 8.68
BLE Notify: 140.56#131.24
PM2.5: 149.18 | PM10: 212.58
PM2.5: 182.48 | PM10: 188.05
PM2.5: 16.89 | PM10: 56.83
PM2.5: 71.96 | PM10: 123.96
PM2.5: 83.33 | PM10: 99.08
PM2.5: 202.41 | PM10: 189.11
PM2.5: 177.02 | PM10: 293.59
PM2.5: 133.74 | PM10: 210.69
PM2.5: 63.37 | PM10: 42.81
PM2.5: 219.66 | PM10: 196.81
PM2.5: 196.21 | PM10: 229.96
PM2.5: 272.74 | PM10: 95.63
BLE Notify: 147.42#161.59
PM2.5: 268.48 | PM10: 170.49
PM2.5: 297.88 | PM10: 99.70
PM2.5: 79.09 | PM10: 13.34
PM2.5: 222.30 | PM10: 218.52
PM2.5: 203.01 | PM10: 292.94
PM2.5: 123.00 | PM10: 28.02
PM2.5: 30.07 | PM10: 138.15
PM2.5: 145.72 | PM10: 297.02
PM2.5: 286.29 | PM10: 59.06
PM2.5: 79.15 | PM10: 15.27
PM2.5: 135.06 | PM10: 232.72
PM2.5: 167.26 | PM10: 92.69
BLE Notify: 169.78#138.16
PM2.5: 40.30 | PM10: 280.79
PM2.5: 1.13 | PM10: 85.30
PM2.5: 95.91 | PM10: 92.27
PM2.5: 87.97 | PM10: 50.29
PM2.5: 142.67 | PM10: 165.50
PM2.5: 128.86 | PM10: 238.95
PM2.5: 274.59 | PM10: 68.06
PM2.5: 248.33 | PM10: 45.73
PM2.5: 191.85 | PM10: 200.20
PM2.5: 78.59 | PM10: 142.84
PM2.5: 286.62 | PM10: 252.44
PM2.5: 203.67 | PM10: 219.42
BLE Notify: 148.37#153.48
PM2.5: 33.03 | PM10: 18.69
PM2.5: 75.95 | PM10: 100.29
PM2.5: 15.17 | PM10: 43.56
PM2.5: 108.78 | PM10: 174.60
PM2.5: 11.32 | PM10: 59.84
PM2.5: 237.03 | PM10: 251.57
PM2.5: 231.11 | PM10: 166.47
PM2.5: 81.63 | PM10: 226.61
PM2.5: 115.01 | PM10: 260.95
PM2.5: 217.56 | PM10: 109.48
PM2.5: 123.00 | PM10: 286.82
PM2.5: 140.57 | PM10: 90.40
BLE Notify: 115.85#149.11
PM2.5: 2.96 | PM10: 220.84
PM2.5: 291.94 | PM10: 15.98
PM2.5: 176.24 | PM10: 259.25
PM2.5: 214.06 | PM10: 296.45
PM2.5: 5.16 | PM10: 198.83
PM2.5: 144.73 | PM10: 260.29
PM2.5: 90.65 | PM10: 175.36
PM2.5: 86.22 | PM10: 193.37
PM2.5: 205.20 | PM10: 7.44
PM2.5: 173.63 | PM10: 252.81
PM2.5: 110.21 | PM10: 175.11
PM2.5: 99.03 | PM10: 42.62
BLE Notify: 133.34#174.86
PM2.5: 171.08 | PM10: 150.72
PM2.5: 192.20 | PM10: 114.23
PM2.5: 126.52 | PM10: 237.61
PM2.5: 117.27 | PM10: 92.34
PM2.5: 125.46 | PM10: 279.21
PM2.5: 79.19 | PM10: 258.08
PM2.5: 75.64 | PM10: 16.52
PM2.5: 146.89 | PM10: 182.78
PM2.5: 62.29 | PM10: 113.76
PM2.5: 10.26 | PM10: 107.21
PM2.5: 263.76 | PM10: 183.77
PM2.5: 131.38 | PM10: 71.37
BLE Notify: 125.16#150.63
PM2.5: 3.46 | PM10: 206.75
PM2.5: 25.08 | PM10: 196.35
PM2.5: 147.34 | PM10: 117.78
PM2.5: 220.88 | PM10: 295.41
PM2.5: 138.82 | PM10: 56.97
PM2.5: 138.31 | PM10: 161.25
PM2.5: 101.16 | PM10: 75.42
PM2.5: 140.08 | PM10: 238.46
PM2.5: 218.90 | PM10: 38.61
PM2.5: 229.91 | PM10: 151.51
PM2.5: 107.45 | PM10: 117.46
PM2.5: 204.29 | PM10: 131.05
BLE Notify: 139.64#148.92
PM2.5: 199.30 | PM10: 175.41
PM2.5: 229.57 | PM10: 12.82
PM2.5: 112.95 | PM10: 71.91
PM2.5: 243.81 | PM10: 108.36
PM2.5: 70.32 | PM10: 220.31
PM2.5: 40.83 | PM10: 106.74
PM2.5: 98.63 | PM10: 143.90
PM2.5: 293.57 | PM10: 151.39
PM2.5: 249.40 | PM10: 31.26
PM2.5: 254.91 | PM10: 108.98
PM2.5: 294.72 | PM10: 109.19
PM2.5: 95.80 | PM10: 173.28
BLE Notify: 181.98#117.80
PM2.5: 1.43 | PM10: 139.38
PM2.5: 50.06 | PM10: 16.67
PM2.5: 251.41 | PM10: 44.88
PM2.5: 172.81 | PM10: 142.02
PM2.5: 222.23 | PM10: 288.33
PM2.5: 162.06 | PM10: 107.50
PM2.5: 67.26 | PM10: 12.44
PM2.5: 170.15 | PM10: 38.10
PM2.5: 291.76 | PM10: 88.25
PM2.5: 157.26 | PM10: 26.28
PM2.5: 185.74 | PM10: 273.82
PM2.5: 144.03 | PM10: 35.32
BLE Notify: 156.35#101.08
PM2.5: 206.67 | PM10: 136.60
PM2.5: 234.02 | PM10: 32.17
PM2.5: 162.87 | PM10: 131.96
PM2.5: 106.34 | PM10: 98.50
PM2.5: 148.76 | PM10: 115.25
PM2.5: 144.64 | PM10: 229.23
PM2.5: 104.54 | PM10: 80.28
PM2.5: 75.61 | PM10: 109.51
PM2.5: 15.85 | PM10: 190.43
PM2.5: 226.59 | PM10: 36.45
PM2.5: 127.92 | PM10: 171.54
PM2.5: 254.47 | PM10: 29.00
BLE Notify: 150.69#113.41
PM2.5: 175.67 | PM10: 251.08
PM2.5: 53.45 | PM10: 125.67
PM2.5: 231.59 | PM10: 95.59
PM2.5: 3.31 | PM10: 289.19
PM2.5: 289.41 | PM10: 102.60
PM2.5: 12.30 | PM10: 86.66
PM2.5: 272.62 | PM10: 173.86
PM2.5: 44.07 | PM10: 150.14
PM2.5: 127.10 | PM10: 186.61
PM2.5: 64.10 | PM10: 177.76
PM2.5: 260.69 | PM10: 109.13
PM2.5: 109.24 | PM10: 288.56
BLE Notify: 136.96#169.74
PM2.5: 92.66 | PM10: 263.08
PM2.5: 66.04 | PM10: 58.53
PM2.5: 32.67 | PM10: 179.32
PM2.5: 209.82 | PM10: 257.84
PM2.5: 38.80 | PM10: 168.85
PM2.5: 150.69 | PM10: 202.87
PM2.5: 228.67 | PM10: 65.24
PM2.5: 134.73 | PM10: 158.17
PM2.5: 136.25 | PM10: 164.18
PM2.5: 264.32 | PM10: 275.68
PM2.5: 75.60 | PM10: 188.05
PM2.5: 160.92 | PM10: 100.08
BLE Notify: 132.60#173.49
PM2.5: 296.43 | PM10: 228.75
PM2.5: 103.41 | PM10: 134.66
PM2.5: 260.60 | PM10: 130.52
PM2.5: 82.14 | PM10: 280.33
PM2.5: 161.42 | PM10: 136.25
PM2.5: 130.21 | PM10: 213.88
PM2.5: 175.24 | PM10: 187.10
PM2.5: 18.90 | PM10: 70.96
PM2.5: 186.99 | PM10: 92.36
PM2.5: 116.63 | PM10: 135.98
PM2.5: 242.76 | PM10: 245.91
PM2.5: 242.83 | PM10: 190.68
BLE Notify: 168.13#170.61
PM2.5: 295.77 | PM10: 132.62
PM2.5: 35.27 | PM10: 36.48
PM2.5: 103.00 | PM10: 95.15
PM2.5: 10.54 | PM10: 265.49
PM2.5: 207.45 | PM10: 65.86
PM2.5: 267.71 | PM10: 42.33
PM2.5: 194.56 | PM10: 215.19
PM2.5: 184.82 | PM10: 49.65
PM2.5: 121.00 | PM10: 28.36
PM2.5: 41.73 | PM10: 260.04
PM2.5: 211.45 | PM10: 113.47
PM2.5: 271.52 | PM10: 46.65
BLE Notify: 162.07#112.61
PM2.5: 220.09 | PM10: 183.45
PM2.5: 71.68 | PM10: 79.47
PM2.5: 200.26 | PM10: 104.97
PM2.5: 30.83 | PM10: 265.78
PM2.5: 26.23 | PM10: 146.75
PM2.5: 138.34 | PM10: 22.31
PM2.5: 155.55 | PM10: 124.12
PM2.5: 281.22 | PM10: 191.54
PM2.5: 284.84 | PM10: 42.34
PM2.5: 183.27 | PM10: 122.01
PM2.5: 92.15 | PM10: 137.71
PM2.5: 27.85 | PM10: 211.16
BLE Notify: 142.69#135.97
